"","Gene","p.value","q.value"
"ENPP4","ENPP4",9.91247006657194e-09,0.000170147548692707
"TFPI","TFPI",4.68290331099811e-07,0.00803820353332825
"VPS50","VPS50",1.35518657329244e-09,2.32617775305648e-05
"CCDC109B","CCDC109B",1.304306827974e-12,2.23884267021738e-08
"FBXL3","FBXL3",1.00812233018612e-07,0.00173044197976447
"MGST1","MGST1",1.98057942812805e-13,3.39966458838179e-09
"VTA1","VTA1",1.80483947429801e-06,0.0309800695763254
"ANLN","ANLN",1.76980454208284e-07,0.00303786949648519
"MBTPS2","MBTPS2",8.02421035953993e-12,1.37735570821503e-07
"ELOVL5","ELOVL5",5.59606056963185e-35,9.60563796777308e-31
"CLK1","CLK1",4.57950784205207e-11,7.86072521088238e-07
"RNF14","RNF14",1.01588287437216e-09,1.74376295385982e-05
"VSIG2","VSIG2",4.8845895373827e-07,0.00838439794091741
"CYP24A1","CYP24A1",4.28706500690481e-09,7.35874708435211e-05
"SNAI2","SNAI2",3.3305343520183e-13,5.71686221523941e-09
"SAMD4A","SAMD4A",4.96542543636709e-08,0.000852315276152411
"BIRC3","BIRC3",1.75709888186533e-10,3.01606023072184e-06
"ABCC2","ABCC2",6.25024419282799e-12,1.07285441569892e-07
"DEPDC1","DEPDC1",4.87842761363987e-26,8.37382099881284e-22
"HSF2","HSF2",1.72299877451225e-08,0.000295752739645028
"VIM","VIM",4.06565988867666e-24,6.97870519891349e-20
"FAS","FAS",6.55459435988193e-13,1.12509612187373e-08
"CD44","CD44",1.43747779111641e-17,2.46743062845132e-13
"CENPQ","CENPQ",4.12941824131146e-12,7.08814641121112e-08
"DEPDC1B","DEPDC1B",3.64247645471861e-09,6.25231083452449e-05
"MFAP3","MFAP3",4.91511189754592e-07,0.00843678957213758
"AGA","AGA",4.10066491826856e-07,0.00703879133220798
"VCAN","VCAN",5.0155631396253e-07,0.00860921412916683
"SPDL1","SPDL1",2.52872272628162e-06,0.0434055255966241
"RAB27B","RAB27B",3.95705456023617e-07,0.00679228415264539
"FAM214A","FAM214A",2.45995239201917e-08,0.000422250828090091
"ARAP2","ARAP2",1.72405925340681e-10,2.95934770847278e-06
"RRM2B","RRM2B",4.64811422028609e-13,7.97848805912108e-09
"KITLG","KITLG",2.26056161985703e-11,3.88025402048458e-07
"ERCC8","ERCC8",3.67009091117343e-12,6.29971104902919e-08
"RCN1","RCN1",2.00176029071824e-11,3.43602153901786e-07
"JKAMP","JKAMP",8.23500114423099e-10,1.41353794640725e-05
"NFE2L3","NFE2L3",3.77710726096767e-07,0.00648340461345101
"MPHOSPH9","MPHOSPH9",4.65083012580614e-10,7.98314991094624e-06
"MCF2L2","MCF2L2",2.81185789614051e-06,0.0482655407872519
"AP5M1","AP5M1",1.87652334515503e-13,3.22105232195861e-09
"ANAPC4","ANAPC4",6.90363005994294e-15,1.18500809978921e-10
"MCOLN3","MCOLN3",2.10537490910922e-08,0.000361387603148598
"DCBLD2","DCBLD2",3.03125463024412e-16,5.20314857281402e-12
"SOAT1","SOAT1",6.15983226047213e-17,1.05733520751004e-12
"RIOK2","RIOK2",1.18983371355786e-14,2.04234956932206e-10
"BCAT1","BCAT1",1.30989900392663e-09,2.24844164024006e-05
"MON2","MON2",3.95641959206875e-08,0.000679119422978602
"DDX20","DDX20",2.48949892613612e-08,0.000427322490671266
"BTBD1","BTBD1",6.18214779623465e-07,0.0106116566922368
"CYB5R4","CYB5R4",5.99426005397597e-12,1.02891473826498e-07
"ME1","ME1",8.29645467474591e-10,1.42408644492014e-05
"ASPM","ASPM",9.82990449754155e-14,1.68730310700301e-09
"CLDN18","CLDN18",2.6129717927463e-09,4.48516608224903e-05
"LRRC40","LRRC40",4.89298393763359e-09,8.39880692894805e-05
"DDX3Y","DDX3Y",3.15050303453352e-30,5.40783845877679e-26
"ZFY","ZFY",1.30109498418855e-11,2.23332954035965e-07
"PDK3","PDK3",3.21673017088798e-08,0.000552151733832921
"RORA","RORA",1.6566813100969e-07,0.00284369346878133
"PFN2","PFN2",5.73907993111377e-21,9.85113070175679e-17
"EXOC5","EXOC5",2.47696930074804e-06,0.0425171780473401
"ASNS","ASNS",7.36127419929656e-09,0.000126356271630925
"MGAT4A","MGAT4A",9.7224844897658e-07,0.016688644626683
"ING3","ING3",5.01025409456391e-08,0.000860010115331894
"CYBRD1","CYBRD1",2.02799235757714e-07,0.00348104888178117
"UBE2D1","UBE2D1",1.31629561163804e-06,0.0225942141737669
"MPP5","MPP5",8.21453378910298e-08,0.00141002472489953
"HMMR","HMMR",3.0660859463539e-18,5.26293652691646e-14
"PPP2R3A","PPP2R3A",2.74648498663811e-09,4.71434147956432e-05
"FERMT2","FERMT2",3.53234508730454e-13,6.06327034235824e-09
"DHRS9","DHRS9",4.39658684804906e-09,7.54674132467622e-05
"PTGS2","PTGS2",1.92046353809129e-09,3.29647566313369e-05
"NTN4","NTN4",8.48194685263543e-12,1.45592617725487e-07
"ACTR6","ACTR6",1.54012660843659e-07,0.0026436273233814
"TIPIN","TIPIN",1.01279938441794e-09,1.7384701433534e-05
"SEMA3A","SEMA3A",1.66881330932299e-14,2.86451804545291e-10
"SLC25A40","SLC25A40",3.04232894817067e-08,0.000522215763953496
"MBNL3","MBNL3",5.2117858396587e-09,8.94603039377416e-05
"NEBL","NEBL",4.94851790387147e-09,8.49413098199538e-05
"N4BP2","N4BP2",1.85757338815319e-07,0.00318852472076496
"TIGAR","TIGAR",7.69635599277046e-09,0.000132107950615905
"CDH17","CDH17",8.37781212235584e-33,1.43805145080238e-28
"CLDND1","CLDND1",2.67984108193689e-07,0.00459994721714467
"NDC80","NDC80",2.59217122775464e-14,4.44946191244083e-10
"OSTM1","OSTM1",3.47549917731377e-14,5.96569433785909e-10
"C5orf22","C5orf22",4.61020533263955e-09,7.91341745347579e-05
"CCNT2","CCNT2",3.40095207669779e-08,0.000583773423965176
"FAM135A","FAM135A",5.9149528709796e-07,0.0101530166030365
"PIBF1","PIBF1",2.26306834952791e-08,0.000388455682196466
"OXCT1","OXCT1",1.94933255983597e-06,0.0334602933895845
"RRAGB","RRAGB",2.15295497687441e-06,0.0369554721780492
"CYLD","CYLD",2.48873433629666e-11,4.27191248825322e-07
"SCAMP1","SCAMP1",1.3765250653447e-08,0.000236280527466417
"WDR47","WDR47",1.6985345010691e-07,0.0029155344710851
"DDHD2","DDHD2",2.01690656604956e-08,0.000346202012062407
"IPO11","IPO11",2.87574418950779e-10,4.93621490129012e-06
"SNX10","SNX10",7.83247715027675e-13,1.344444702845e-08
"CEACAM6","CEACAM6",1.38392728202714e-36,2.37551117959958e-32
"AURKA","AURKA",5.83355061899569e-07,0.0100132896375061
"ALG6","ALG6",2.85052838000729e-10,4.89293196428252e-06
"TGDS","TGDS",3.5949825781349e-13,6.17078759536855e-09
"OAS1","OAS1",1.48524247636941e-06,0.025494187106881
"FXYD3","FXYD3",1.58818955442134e-11,2.72612737016422e-07
"LYZ","LYZ",2.59196207062748e-15,4.44910289423207e-11
"ZNF268","ZNF268",3.81223902731514e-14,6.54370829038644e-10
"NRCAM","NRCAM",5.12058962326138e-19,8.78949208832816e-15
"PPP2R3C","PPP2R3C",4.57755468129297e-07,0.00785737261043937
"G2E3","G2E3",4.44075995797483e-14,7.62256446786379e-10
"TGFB2","TGFB2",1.02144575979449e-06,0.0175331164668724
"UPRT","UPRT",1.45286476331412e-06,0.0249384236622868
"IKZF5","IKZF5",3.61513168135306e-08,0.000620537353104253
"EFHC1","EFHC1",7.33983849924715e-09,0.000125988327839577
"ZNF184","ZNF184",2.32766672123253e-06,0.0399543992699564
"CDC7","CDC7",1.48968265767351e-10,2.55704028189659e-06
"ERMP1","ERMP1",2.24315360340824e-07,0.00385037316025024
"RAB18","RAB18",1.32506067792736e-07,0.00227446665366231
"POLE2","POLE2",1.39620760194669e-07,0.00239659034874149
"VCPKMT","VCPKMT",5.13492381162354e-07,0.0088140967226518
"SOS2","SOS2",2.59392355410507e-10,4.45246978062135e-06
